,url,电影名称,别名,全部名称,电影评分,评分人数,导演,编剧,主演,上映年份,首映日期,国家,语言,片长raw,片长,季数,集数,单集片长raw,单集片长,类型,剧情简介
0,https://movie.douban.com/subject/1851857/,蝙蝠侠：黑暗骑士 The Dark Knight,蝙蝠侠前传2：黑暗骑士 / 黑暗骑士(台) / 蝙蝠侠-黑夜之神(港) / 蝙蝠侠6：暗夜骑士 / Batman: The Dark Knight / TDK,蝙蝠侠：黑暗骑士 The Dark Knight / 蝙蝠侠前传2：黑暗骑士 / 黑暗骑士(台) / 蝙蝠侠-黑夜之神(港) / 蝙蝠侠6：暗夜骑士 / Batman: The Dark Knight / TDK,9.2,1073879,克里斯托弗·诺兰,乔纳森·诺兰 / 克里斯托弗·诺兰 / 大卫·S·高耶,克里斯蒂安·贝尔 / 希斯·莱杰 / 艾伦·艾克哈特 / 迈克尔·凯恩 / 玛吉·吉伦哈尔 / 加里·奥德曼 / 摩根·弗里曼 / 莫尼克·加布里埃拉·库尔内 / 罗恩·迪恩 / 基里安·墨菲 / 黄经汉 / 内斯特·卡博内尔 / 埃里克·罗伯茨 / 里特奇·科斯特 / 安东尼·迈克尔·豪尔 / 基斯·斯扎拉巴基克 / 柯林·麦克法兰 / 约书亚·哈尔托 / 美琳达·麦格劳 / 内森·甘宝 / 迈克尔·维约 / 迈克尔·斯托扬诺夫 / 威廉·斯米利 / 丹尼·高德林 / 迈克尔·加·怀特 / 马修·奥尼尔 / 威廉·菲克纳 / 欧鲁米基·欧拉乌米 / 格雷格·比姆 / 爱利克·赫尔曼 / 毕崔斯·罗森 / 文森佐·尼克力 / 陈冠希,2008,2008-07-14(纽约首映) / 2008-07-18(美国),美国 / 英国,英语 / 汉语普通话,152分钟,152,,,,,剧情 / 动作 / 科幻 / 惊悚 / 犯罪,从亲眼目睹父母被人杀死的阴影中走出来的“蝙蝠侠”，经历了成长之后，已经不再是那个桀骜不的孤单英雄了。在警官吉姆·戈登和检查官哈维·登特的通力帮助下，“蝙蝠侠”无后顾之忧地继续满世界的奔波，与日益增长起来的犯罪威胁做着永无休止的争斗，而他所在的高谭市，也是进展最为明显的地方，犯罪率以一种惊人的速度持续下降着，毕竟对方是能够上天入地的“蝙蝠侠”，不借两个胆子谁还敢造次呢？不过像高谭这种科技与污秽并存的城市，平静是不可能维持太久的，果不其然，新一轮的混乱很快就席卷了整个城市，人们再一被被恐慌所笼罩着，而声称愿意为这一切负责的，自然就是所有混乱的源头以及支配者--“小丑”了。 先不管“小丑”掀起一个又一个犯罪的狂潮的最终目的为何，他的企图都是邪恶的，所作所为更是早就危害到了高谭市民的正常生活……其中自然包括了“蝙蝠侠”身边几个非常重要的人，而他需要做的，就是将这股新的危机全部亲自用手捏得粉碎。然而在面对着这个有史以来最具针对性、最恶毒的对手时，“蝙蝠侠”却不得不从他的地下军械库里搬出每一件能够用得上的高科技武器，还得时刻纠结着为他曾经信仰的一切寻找答案。
1,https://movie.douban.com/subject/1945336/,通缉令 Wanted,杀神特工(港) / 刺客联盟(台) / 通缉犯,通缉令 Wanted / 杀神特工(港) / 刺客联盟(台) / 通缉犯,7.4,181361,提莫·贝克曼贝托夫,迈克尔·布拉德特 / 德里克·哈斯 / 克里斯·摩根,詹姆斯·麦卡沃伊 / 摩根·弗里曼 / 安吉丽娜·朱莉 / 特伦斯·斯坦普 / 托马斯·克莱舒曼 / 科曼 / 克里斯汀·哈格 / 马克·沃伦 / 大卫·奥哈拉 / 康斯坦丁·哈宾斯基 / 达托·巴赫塔泽 / 克里斯·帕拉特 / Lorna Scott / 索菲娅·哈克 / 布莱恩·卡斯佩,2008,2008-10-09(中国大陆) / 2008-06-27(美国),美国 / 德国,英语,110 分钟,110,,,,,动作 / 犯罪 / 奇幻,生活对小职员卫斯理（James McAvoy 饰）来说是毫无意义的重复，每天要忍受痴肥上司唠叨、好友与女友上床，还要不停用药物控制过快的心跳。这天他被一名陌生女子从疯狂枪手的追杀中救出，进入了刺客联盟的世界，救命恩人火狐（Angelina Jolie 饰）与联盟领导史隆（Morgan Freeman 饰）告知卫斯理当年抛弃他的父亲也是组织一员，最近为叛徒十字所杀，卫斯理必须尽快在严酷的训练中成长，才能自保，甚至为父报仇。 刺客联盟起源于纺织行会，他们按照纺织机提供的密码决定刺杀对象，从而顺应命运的安排。卫斯理很快凭借优异的天赋掌握一系列暗杀手段成为组织一员，开始执行命运赋予的任务，并逐渐接近向十字寻仇的目标，终于，史隆令卫斯理远赴东欧刺杀十字，但在这次任务中，卫斯理意外发现了组织内部的阴谋，而这一次，他不再用逃避解决问题。 本片获2009年英国帝国电影奖最佳科幻幻想电影奖。
2,https://movie.douban.com/subject/1307811/,魔女宅急便 魔女の宅急便,魔女琪琪(台) / 小魔女限时专送 / Kiki's Delivery Service,魔女宅急便 魔女の宅急便 / 魔女琪琪(台) / 小魔女限时专送 / Kiki's Delivery Service,8.7,464551,宫崎骏,宫崎骏 / 角野荣子,高山南 / 佐久间玲 / 户田惠子 / 山口胜平 / 信泽三惠子 / 加藤治子 / 关弘子 / 三浦浩一 / 山寺宏一 / 井上喜久子 / 渊崎由里子 / 土井美加 / 土师孝也 / 浅井淑子 / 齐藤昌 / 西村知道 / 小林优子 / 池水通洋 / 辻亲八 / 大塚明夫 / 坂本千夏 / 田口昂 / 键本景子 / 津贺有子 / 龟井芳子 / 丸山裕子,1989,1989-07-29(日本),日本,日语,103分钟,103,,,,,动画 / 奇幻 / 冒险,琪琪今年13岁了，按照魔法界的规矩，魔法少女年满13岁就要出外进行为期一年的修行。所以琪琪带着宠物黑猫吉吉踏上了修行之旅。然而，修行之旅开始得并不顺利，当琪琪来到海边一座大城市时，人们并没有欢迎她的到来，人人都不搭理她。幸亏琪琪有一颗善良的心，当她拾到了一件别人的失物时，热心的琪琪找到了失主。她的善良赢得了面包店老板娘的好感，琪琪就在面包店开始了她用飞行魔法为客人服务的快递业务。琪琪很快适应了新环境，一次，一个热衷于飞机制造的男孩邀请琪琪去参加飞行俱乐部的聚会，途中琪琪因为帮一位老大娘送东西而被雨淋了。从此，琪琪突然发现自己的魔法正在一天天变弱。
3,https://movie.douban.com/subject/1304022/,大腕,Big Shot's Funeral,大腕 / Big Shot's Funeral,7.9,214174,冯小刚,石康 / 冯小刚 / 李晓明,葛优 / 关之琳 / 英达 / 保罗·马祖斯基 / 唐纳德·萨瑟兰 / 李诚儒 / 张涵予 / 傅彪 / 刘仪伟 / 克里斯托弗·巴登 / 何平 / 牛飘 / 杜宝宝 / 李晓耕 / 许晓力 / 叶宏 / 袁德旺 / 张晞临 / 杨欣 / 吉米 / 徐啸力,2001,2001-12-21(中国大陆),中国大陆 / 中国香港,汉语普通话 / 英语,103分钟,103,,,,,喜剧,尤优（葛优饰）接到个美差，拍一部宣传记录片记录好莱坞大腕导演泰勒（唐纳德•萨瑟兰饰）在中国拍摄影片的工作过程。一开始工作顺利，但随着制片人托尼（保罗•莫索尔斯基饰）的到来，事情起了变化。闲下来的尤优和泰勒、泰勒的助手露茜（关之琳饰）到寺庙游览，三人相处得非常愉快。不料几天后泰勒因心脏病发作，生命垂危，他希望尤优能为自己操办个喜丧葬礼，尤优揽下活儿。 尤优找到老同学王小柱（英达饰），泰勒将死对王来说是一个难得商机，对托尼来说也是如此，惟有尤优和露茜是怀着朴实感情面对此事。王小柱开始出谋献策，拉了好多赞助，众多商家不惜花大钱在葬礼上做广告。局面变得无法收拾，却不料，在葬礼的背后另有玄机。
4,https://movie.douban.com/subject/2357162/,冰川时代3 Ice Age: Dawn of the Dinosaurs,冰河世纪3：大威龙驾到 / 冰河时代3：恐龙的黎明 / 冰原历险记3 / Ice Age 3,冰川时代3 Ice Age: Dawn of the Dinosaurs / 冰河世纪3：大威龙驾到 / 冰河时代3：恐龙的黎明 / 冰原历险记3 / Ice Age 3,8.3,238470,卡洛斯·沙尔丹哈 / 麦克·特米尔,迈克尔·伯格  / 彼得·阿克曼 / 迈克·里斯 / 尤尼·布伦纳 / 彼得·高尔克 / 格里·斯沃洛 / 迈克尔·J·威尔森,Eunice Cho / 麦丽·弗拉纳甘 / 杰森·弗里基奥内 / 比尔·哈德尔 / Kelly Keaton / 乔伊·金 / 奎恩·拉提法 / 丹尼斯·利瑞 / 阿莱格拉·勒吉萨莫 / 约翰·雷吉扎莫 / Lucas Leguizamo / 科里亚·刘易斯 / 简·林奇 / 乔希·佩克 / 西蒙·佩吉 / 雷·罗马诺 / 卡洛斯·沙尔丹哈 / 西恩·威廉·斯科特 / 辛迪·斯拉特里 / 克里斯·韦奇 / 克里斯汀·韦格 / 马特·阿德勒 / 史蒂夫·奥特曼 / 克劳迪娅·贝索 / 霍利·多夫 / 塞勒妮丝·雷瓦 / 蒂姆·诺德奎斯特 / 德维卡·帕利赫 / 乔纳森·柴可夫斯基 / 弗兰克·维尔克,2009,2009-07-08(中国大陆) / 2009-07-01(美国),美国,英语,94分钟,94,,,,,喜剧 / 动画 / 冒险,一群老朋友又将开始一段新的旅程。当猛犸象曼尼（Manny）沉浸在马上要当爸爸的喜悦之时，剑齿虎迭戈（Diego）却为自己的逐渐衰老而黯然伤神，此时树懒希德（Sid）则发现了三枚恐龙蛋，居然“母爱”泛滥，想做这三只小霸王龙的妈妈，结果被小恐龙真正的妈妈霸王龙掳走。 为了寻 找同伴，一群可爱的动物朋友们走进了隐藏在冰河世纪之下的“侏罗纪公园”，在这片神奇的地方，他们会认识什么新朋友，又会遭遇到什么危险，这都让所有众多“冰粉”们充满期待。 这部电影作为20世纪福克斯公司（20th Century Fox）第一部3D形式大规模上映的动画片其制作成本达到1.2亿美元，几乎是《冰河世纪1》的两倍。
5,https://movie.douban.com/subject/1297518/,九品芝麻官,九品芝麻官之白面包青天 / Hail the Judge,九品芝麻官 / 九品芝麻官之白面包青天 / Hail the Judge,8.7,689398,王晶,[佚名],周星驰 / 吴孟达 / 张敏 / 徐锦江 / 钟丽缇 / 蔡少芬 / 吴启华 / 邹兆龙 / 梁荣忠 / 黄一飞 / 苑琼丹 / 刘洵 / 黄一山,1994,1994-03-31(中国香港),中国香港 / 中国大陆,粤语,108分钟,108,,,,,剧情 / 喜剧 / 古装,包龙星（周星驰 饰）用钱买来了一个候补知县的职位，可是为人贪婪，县上的人都对他痛恨之极。在他代替正式知县的时候，戚家媳妇戚秦氏（张敏 饰）遭到了常威( 邹兆龙 饰 )的强暴，后来常威动了杀机把戚家上下都杀害了，更嫁祸于戚秦氏。常威是水师提督大人的儿子，请来大状方唐镜（吴启华 饰），收买了所有证人以便洗脱罪名。包龙星虽然极力寻找证据，也被迫害至落难他乡。他决定要上京告御状，后来他因没钱不得不在妓院打工，向老板娘学习了一身斗嘴的好功夫。他在妓院里误打误撞认识了皇上，帮助皇上有功他被封了大官，重审戚家被害的案件。他凭着聪慧与口才，全力为戚秦氏讨回公道。
6,https://movie.douban.com/subject/1292444/,大逃杀 バトル・ロワイアル,圣战 / 东京圣战 / Battle Royale,大逃杀 バトル・ロワイアル / 圣战 / 东京圣战 / Battle Royale,8.0,216098,深作欣二,深作健太 / 高见广春,藤原龙也 / 前田亚季 / 山本太郎 / 北野武 / 栗山千明 / 高冈奏辅 / 塚本高史 / 小谷幸弘 / 石川绘里 / 神谷凉 / 三村恭代 / 岛田礼 / 井上亚纪 / 松泽莲 / 本田博仁 / 新田亮 / 池田早矢加 / 永田杏奈 / 金泽祐香利 / 加藤操 / 日向瞳 / 石井里弥 / 金井爱砂美 / 花村怜美 / 柴田阳亮 / 乡志郎 / 增田裕生 / 广川茂树 / 三原珠纪 / 岛木智实 / 佐野泰臣 / 日下慎 / 西村豪起 / 山口森广 / 大西修 / 横道智 / 内藤淳一 / 木下统耶子 / 关口真衣 / 马场乔子 / 野见山晴可 / 岩村爱子 / 前田爱 / 美波 / 山村美智子 / 利根川寿寿花 / 诹访太朗 / 片冈礼子 / 谷口节 / 中井出健 / 深浦加奈子 / 宫村优子 / 柴崎幸 / 安藤政信 / 伊尔琳·菲茨杰拉德 / 斯蒂芬妮·社 / John Snyder / 斯派克·斯潘塞 / Kaiji Tang / Julie Ann Taylor,2000,2000-10(东京国际电影节) / 2000-12-16(日本),日本,日语,114分钟,114,,,,,剧情 / 惊悚,为了培养出忠实效忠于成人、在逆境中坚忍不拔的青少年一代，日本政府出台《BR》法案。每年都从全国学校随机抽出一个班级的同学，前往荒岛进行生存极限挑战——老师发给学生地图、粮食和各式武器，令他们自相残杀，直到存活下来的最后一个，才能离开荒岛。接下来，残酷的游戏规则和令人绝望的生存条件，使班级里的年轻人开始了相互杀戮。善良或者凶残，主动出击或者被动防守， 同学们开始了各自的计划，人性的丑恶在血腥的死亡中暴露无遗。 大逃杀的游戏在荒岛上壮烈上演。究竟学生们的宿命如何，谁才是最后的存活者。
7,https://movie.douban.com/subject/1315574/,加勒比海盗2：亡灵的宝藏 Pirates of the Caribbean: Dead Man's Chest,加勒比海盜：决战魔盜王(港) / 加勒比海盗：神鬼奇航2(台) / 加勒比海盗2：聚魂棺 / 加勒比海盗2：亡灵宝藏 / Pirates 2,加勒比海盗2：亡灵的宝藏 Pirates of the Caribbean: Dead Man's Chest / 加勒比海盜：决战魔盜王(港) / 加勒比海盗：神鬼奇航2(台) / 加勒比海盗2：聚魂棺 / 加勒比海盗2：亡灵宝藏 / Pirates 2,8.4,424259,戈尔·维宾斯基,泰德·艾略特 / 特里·鲁西奥 / 斯图尔特·贝亚蒂耶 / 杰·沃尔伯特,约翰尼·德普 / 奥兰多·布鲁姆 / 凯拉·奈特莉 / 杰克·达文波特 / 比尔·奈伊 / 乔纳森·普雷斯 / 李·阿伦伯格 / 麦肯锡·克鲁克 / 凯文·麦克纳利 / 大卫·拜利 / 斯特兰·斯卡斯加德 / 汤姆·霍兰德尔 / 娜奥米·哈里斯 / 马丁·科勒巴 / 大卫·斯科菲尔德 / 亚力克斯·诺顿 / 劳伦·马赫 / 内杰·亚当森 / 卢克·德·沃夫松 / 德里克·奥康纳 / 德莫特·基尼 / 克里夫·阿什伯恩 / 罗比·基 / 麦克斯·贝克 / 史蒂夫·斯皮尔斯 / 约翰·博斯沃尔 / 克里斯托弗·亚当森 / 安迪·比克维奇 / 乔纳森·林斯利 / 西蒙·米考克 / 瓦妮莎·布兰奇 / 大卫·斯特恩 / 安东尼·帕特里西奥 / 迈克尔·恩莱特 / 马克·可汗 / 大卫·扎赫迪安 / 法乌齐·卜拉希米 / 雷吉·李 / 杰拉德·J·雷耶斯 / 哈亚提·阿克巴斯 / 斯蒂芬·阿纳尼茨 / 拉斯蒂·格瑞斯登·博林 / 罗恩·博蒂塔 / 盖伊·查普曼 / 尼尔·德蒙特 / 杰拉德·加纳 / 赛米·汉拉缇 / 达隆·亨廷顿 / 保罗·雅各布森 / 马克·约瑟夫 / 乔纳森·克特,2006,2006-07-07(美国),美国,英语 / 土耳其语 / 希腊语,151分钟,151,,,,,动作 / 奇幻 / 冒险,迷人的杰克（约翰尼•戴普 饰）船长又回来了，这次，他遇到了更为强大的敌人——传说中的不死人大卫•琼斯(比尔•奈伊 饰)，他驾驶着让人恐惧的“飞行荷兰人”号快船，在速度与装备上，没有任何船能够超越它。杰克船长欠下琼斯一个血债，他必须赶在最后时限到来之前，找到破解的方法，否则他会永远背负血债，并且在余生永远成为琼斯的奴隶。 当然，杰克船长的好朋友威尔•特纳（奥兰多•布鲁姆 饰）也被卷入了他的坏运气当中。因为杰克，威尔和伊丽莎白（凯拉•奈特莉 饰）的婚礼被迫取消，伊丽莎白还被关进了监狱，威尔为了救她，只能去寻找杰克。 这次两个好朋友遇到了巨大神秘的海洋怪物、不友善的小岛土著、打扮华丽的占卜者戴尔玛，威尔失散多年的父亲--“拉靴带”比尔•特纳(斯特兰•斯卡斯加德)在关键时刻离奇现身，成为全局的转折点……
8,https://movie.douban.com/subject/1432146/,钢铁侠 Iron Man,铁甲奇侠(港) / 钢铁人(台) / 铁人,钢铁侠 Iron Man / 铁甲奇侠(港) / 钢铁人(台) / 铁人,8.4,602407,乔恩·费儒,阿特·马库姆 / 马特·霍洛维 / 马克·弗格斯 / 霍克·奥斯比,小罗伯特·唐尼 / 泰伦斯·霍华德 / 格温妮斯·帕特洛 / 杰夫·布里吉斯 / 莱丝莉·比伯 / 肖恩·托布 / 保罗·贝坦尼 / 乔恩·费儒 / 克拉克·格雷格,2008,2008-04-30(中国大陆) / 2008-04-14(悉尼首映) / 2008-05-02(美国),美国,英语 / 波斯语 / 乌尔都语 / 阿拉伯语,126分钟,126,,,,,动作 / 科幻 / 惊悚 / 冒险,斯塔克军火公司是美军在全球范围内第一大军火供应商，其新任掌门人托尼•斯塔克（小罗伯特·唐尼 Robert Downey Jr. 饰）风流倜傥，天资聪颖。他与公司元老俄巴迪亚•斯坦（杰夫·布里吉斯 Jeff Bridges 饰）合作无间，共同将斯塔克公司的业务推向顶峰。现 实生活中的托尼热衷收集名贵跑车，搞点儿发明创造，当然露水姻缘更不可少。所幸他身边有维吉尼亚•波茨（格温妮斯·帕特洛 Gwyneth Paltrow 饰）这样的好助手细心打理一切，才让他能自由自在过着贵公子的生活。 在前往中东为军方展示新型武器的途中，托尼一众遭到恐怖分子袭击。他被弹片击中险些丧命，在英森博士的帮助下，托尼体内移植了一颗核动力的人工心脏。恐怖分子要求托尼制造强大的杀伤性武器，他和英森虚与委蛇，暗中制造了一套由聚变能源驱动的钢铁盔甲。穿上盔甲托尼大闹恐怖分子的基地，回到美国后又对其进行了改进。却不知，接下来有更为黑暗的阴谋等着他……
9,https://movie.douban.com/subject/1302987/,珍珠港 Pearl Harbor,Tennessee,珍珠港 Pearl Harbor / Tennessee,8.0,267001,迈克尔·贝,兰道尔·华莱士,本·阿弗莱克 / 乔什·哈奈特 / 凯特·贝金赛尔 / 威廉姆·李·斯科特 / Greg Zola / 艾文·布莱纳 / 亚历克·鲍德温 / 杰米·金 / 凯瑟琳·凯尔纳 / 詹妮弗·加纳 / 强·沃特 / 小库珀·古丁 / 迈克尔·珊农 / 马修·戴维斯 / 岩松信 / 约翰·藤冈 / 田川洋行 / 科鲁姆·费奥瑞 / 丹·艾克罗伊德 / 雷利·麦克伦顿 / 杰西·詹姆斯 / 威廉·菲克纳 / 史蒂夫·兰金 / 布莱恩·黑利 / 大卫·霍恩斯比 / 斯科特·威尔森 / 格拉汉姆·贝克尔 / 兰迪·奥格斯比 / 斯坦·卡希尔 / 汤姆·埃沃雷特 / 托马斯·阿拉纳 / 贝丝·格兰特 / 萨拉·茹 / 姜成镐 / 拉法埃尔·沙巴拉格 / 马蒂·贝拉夫斯基 / 冈本玉二 / 伊恩·鲍汉 / 迈克尔·米尔汉 / 彼得·弗斯 / 汤姆·塞兹摩尔 / 安德鲁·布莱尼亚斯基 / 尼古拉斯·唐斯 / 蒂姆·乔特 / 约翰·迪尔 / 罗恩·哈珀 / 特德·麦金利 / 麦迪逊·梅森 / 金·寇兹 / 安德鲁·巴利 / 格伦·莫肖尔 / 保罗·弗朗西斯 / 斯科特·维普 / 艾瑞克·克里斯蒂安·奥森 / 加雷特·佐藤 / 井上英治 / 杰夫·瓦德洛 / 塞斯·萨凯 / 柯蒂斯·安徒生 / 约翰·派珀-弗格森 / 迈克尔·肖姆斯·维尔斯 / 布雷特·佩迪戈 / 肖恩·古恩 / 乔希·阿克曼 / 大卫·考夫曼 / 盖·托利 / 利兰·奥瑟 / 皮特·詹姆斯·史密斯 / 帕特·希利 / 托马斯·威尔逊·布朗 / 詹姆斯·斋藤 / 罗伯特·詹 / 弗雷德里克·凯勒 / 本·伊斯特 / 杰森·利格特,2001,2001-08-10(中国大陆) / 2001-05-25(美国),美国,英语 / 日语 / 法语 / 汉语普通话,183分钟,183,,,,,剧情 / 爱情 / 历史 / 战争,雷夫（本•阿弗莱特）和丹尼（乔什•哈奈特）是一对自小玩在一起的好兄弟，两人对飞行都有很大兴趣，曾一起学习过驾驶飞机，二战初期，两人又一起加入了美国空军部队。受训期间，雷夫与军中医院里的女护士伊弗琳（凯特•贝金赛尔）坠入爱河。 为协助欧洲各国抵抗纳粹德国的侵略，美军决定派出精英部队前往欧洲大陆，雷夫自告奋勇前往参战，并将伊弗琳托付给丹尼照顾，不久，噩耗传来，雷夫的飞机在空战中不幸被德军击落，生还可能几乎为零。伊弗琳与丹尼在相互勉励的伤痛中，萌生爱情。令他们没想到的是，雷夫并没死去，当三人重聚首时，尴尬顿生。日军偷袭珍珠港一事帮他们解了围，雷夫与丹尼决定不做情敌做战友。
10,https://movie.douban.com/subject/1950148/,赎罪 Atonement,爱·诱·罪(港) / 救赎,赎罪 Atonement / 爱·诱·罪(港) / 救赎,8.5,388146,乔·赖特,克里斯托弗·汉普顿 / 伊恩·麦克尤恩,詹姆斯·麦卡沃伊 / 西尔莎·罗南 / 凯拉·奈特莉 / 本尼迪克特·康伯巴奇 / 布兰达·布莱斯 / 哈丽特·瓦尔特 / 朱诺·坦普尔 / 阿尔菲·艾伦 / 帕特里克·肯尼迪 / 彼得·怀特 / 瓦妮莎·雷德格雷夫 / 萝玛拉·嘉瑞,2007,2008-02-22(中国大陆) / 2007-08-29(威尼斯电影节) / 2007-09-07(英国),英国 / 法国,英语 / 法语,123分钟,123,,,,,剧情 / 爱情 / 悬疑 / 战争,"1935年夏天，来自一个宽裕的英国小康家庭的13岁的少女布里奥妮（斯奥里兹•罗南 饰）刚刚开始尝试写作,想象力丰富。一天，她暗中发现仆人的儿子——罗比•特纳（詹姆斯•迈克沃伊 饰）和她姐姐塞西利亚（凯特•奈特莉 饰）之间有暧昧关系，而且发现他给她写了一封充满情色意味的情书。布里奥妮丰富的想象力虚构着各种可怕的事情，浮想联翩。当她的表姐罗拉被强奸后，布里奥妮相当肯定她看到是罗比做的，这次指证使罗比蒙冤入狱，留下伤心欲绝的塞西利亚。 第二次世界大战爆发了，出狱后的罗比和塞西利亚都投入了保卫祖国的战斗，布利奥妮放弃到剑桥升学成为一名军队医务人员。没有人能理解她的做法，只有她知道她怀揣着巨大的秘密和自责。她鼓起勇气，想把这秘密解开，能真正赎罪和得到宽恕。然而，世事幻变，出乎布利奥妮的预算。"
11,https://movie.douban.com/subject/1293203/,人鬼情未了 Ghost,第六感生死恋(台) / 生死第六感 / 幽灵,人鬼情未了 Ghost / 第六感生死恋(台) / 生死第六感 / 幽灵,8.3,211868,杰瑞·扎克,布鲁斯·乔尔·鲁宾,帕特里克·斯威兹 / 黛米·摩尔 / 托尼·戈德温 / 乌比·戈德堡,1990,1990-07-13,美国,英语,127 分钟,127,,,,,剧情 / 爱情 / 奇幻,年轻的银行职员萨姆（帕特里克•斯威兹）与未婚妻美莉（黛咪•摩尔）相爱极深，在朋友卡尔（托尼•戈德温）的热情帮助下，他们搬进一幢漂亮的公寓，做着结婚前的准备。某晚看戏归来时，他们遭遇持枪歹徒，与歹徒搏斗时，萨姆不幸中枪身亡，美莉悲痛欲绝。 萨姆变作幽灵，发现卡尔是导致他死亡的幕后策划，而为了窃取银行里的巨款，他又对美莉展开追求，以便获得萨姆所掌握的密码。为了保护美莉，萨姆常常游荡于她的周围，并渐渐地学会了如何使用力量，但他苦于无法同美莉交流。在能与幽灵沟通的灵媒奥塔的帮助下，他与美莉取得联系，但美莉起初并不相信，直到事实令她感受到萨姆的存在，可是，深深相爱的两人仍无法直接接触和交流。
12,https://movie.douban.com/subject/1927686/,爱情呼叫转移,Call For Love,爱情呼叫转移 / Call For Love,6.4,176690,张建亚,刘仪伟 / 束焕,徐峥 / 刘仪伟 / 宁静 / 白冰 / 伊能静 / 车永莉 / 沈星 / 宋佳 / 范冰冰 / 瞿颖 / 姜宏波 / 黄圣依 / 龚蓓苾 / 秦海璐,2007,2007-02-08(中国大陆),中国大陆,汉语普通话,94分钟,94,,,,,喜剧 / 爱情,徐朗（徐峥饰）人到中年，婚姻正经历七年之痒的考验。家庭生活的细碎，烦闷与周而复始，终于使他败下阵来，向相守多年的妻子提出离婚。偶然中，徐朗遇到了一个脾气古怪又爱捉弄人的天使（刘仪伟饰），得到了具有魔力的神奇礼物——一部可以满足主人所有愿望，将梦中天使带到他身边的手机。 于是，十二位性格迥异，却都拥有天使面孔的女人翩然而至。她们或纯洁坚韧，或天真无邪，或性感妖娆，或知性端庄…十二种粉红女郎，十二种生命经历，十二种致命诱惑。在这场情感的闹剧中，徐朗最终得到是不尽的幸福，还是不明的困惑…
13,https://movie.douban.com/subject/1305690/,阿飞正传 阿飛正傳,Days of Being Wild,阿飞正传 阿飛正傳 / Days of Being Wild,8.5,515638,王家卫,王家卫,张国荣 / 张曼玉 / 刘嘉玲 / 刘德华 / 张学友 / 潘迪华 / 梁朝伟,1990,2018-06-25(中国大陆) / 1990-12-15(中国香港),中国香港,粤语 / 汉语普通话 / 英语 / 菲律宾语 / 上海话,94分钟,94,,,,,剧情 / 爱情 / 犯罪,1960年代的香港，因生母在阿飞旭仔（张国荣）长大成人过程中的缺失，他把自己优雅地比喻为“无根鸟”，对生命中遇到的每一个女人都表现得放荡不羁，售票员苏丽珍（张曼玉）和舞女咪咪（刘嘉玲）先后令他感受过温暖，可是她们也只能当当小情人。为摆脱沉重和无力感，旭仔抛下一切去南洋找寻生母。 暗恋过苏丽珍且目睹过她与旭仔情感一路变化的，曾是小巡警今在跑船的超仔（刘德华）在菲律宾又遇到旭仔，是缘分也是宿命，他参与、见证了阿飞命运被改写的过程。
14,https://movie.douban.com/subject/1308857/,可可西里,Kekexili: Mountain Patrol,可可西里 / Kekexili: Mountain Patrol,8.9,306463,陆川,陆川,多布杰 / 张垒 / 奇道 / 赵雪莹 / 马占林 / 赵一穗,2004,2004-10-01(中国大陆) / 2005-04-21(中国香港),中国大陆 / 中国香港,汉语普通话 / 藏语,85分钟(中国大陆),85,,,,,剧情 / 犯罪,尕玉（张磊 饰）本来是个警察，为了调查藏羚羊猎杀状况，他假扮记者身份，随考察团来到可可西里——那里气候寒冷、空气稀薄，含氧量极低。就在这个人类生存的“禁区”，尕玉目睹了一幕幕人性的贪婪以及人类与环境的狂暴冲突。首先是藏羚羊保护站的巡山队员被盗猎人枪杀，接下来他们见到了悲惨的一幕：盗猎者逃走，只留下众多只剩嶙峋白骨的藏羚羊。巡山队员在恶劣的环境中追捕凶手，最终只夺回了一部份的藏羚羊皮毛。一方面要与恶劣的自然环境抗争、另一方面还要与凶残的盗猎者周旋，巡山队员和尕玉面临着生死考验。
